country,year,parity,mean_age_at_birth,n
Benin,2001,7,21.352599639028497,978
Benin,2001,8,20.344846514969756,647
Benin,2001,9,19.505110840048086,362
Benin,2001,10,18.928521184605277,184
Benin,2001,11,18.582152356469322,88
Benin,2001,12,18.701409767205107,34
Benin,2001,13,18.62391269889878,9
Benin,2001,14,17.62751396190012,3
Benin,2001,15,19.333333333333332,1
Benin,2006,1,28.4511975229644,13814
Benin,2006,2,26.583377851442705,11637
Benin,2006,3,25.117989103413983,9406
Benin,2006,4,23.847079921235665,7335
Benin,2006,5,22.783425086508107,5435
Benin,2006,6,21.79879478063161,3876
Benin,2006,7,20.98753799590959,2597
Benin,2006,8,20.09131491688111,1568
Benin,2006,9,19.319324085036815,865
Benin,2006,10,18.50724391381295,426
Benin,2006,11,17.70527375216382,173
Benin,2006,12,16.97837273731395,76
Benin,2006,13,18.095281010809533,15
Benin,2006,14,17.542420902597385,4
Benin,2006,15,18.614745839095427,2
Benin,2006,16,14.690967297805189,2
Benin,2006,17,12.583333333333334,1
Benin,2011,1,28.308868722569535,12522
Benin,2011,2,26.222458603259028,10436
Benin,2011,3,24.588041775015608,8226
Benin,2011,4,23.169124786651576,6074
Benin,2011,5,22.060899596719516,4145
Benin,2011,6,20.940024277903465,2659
Benin,2011,7,20.064044060907495,1518
Benin,2011,8,19.177072968082864,846
Benin,2011,9,18.700842754312784,409
Benin,2011,10,18.318317832078087,189
Benin,2011,11,17.779137700077307,85
Benin,2011,12,18.087095191146222,26
Benin,2011,13,16.60338461605722,10
Benin,2011,14,15.985132466738763,5
Benin,2011,15,16.356937827822662,2
Benin,2017,1,28.663930584928643,11756
Benin,2017,2,26.94636407174031,9715
Benin,2017,3,25.466873631074133,7761
Benin,2017,4,24.11136567250465,5897
Benin,2017,5,22.956688353085404,4193
Benin,2017,6,21.86676210943078,2817
Benin,2017,7,20.812205502540042,1780
Benin,2017,8,20.167491624731994,1012
Benin,2017,9,19.634026976861765,514
Benin,2017,10,18.77854823804646,256
Benin,2017,11,18.48050334916711,94
Benin,2017,12,18.56300399555305,34
Benin,2017,13,17.623975966097102,16
Benin,2017,14,16.072379332013263,6
Benin,2017,15,18.999999999999996,1
Benin,2017,16,15.666666666666666,1
Sierra Leone,2008,1,27.35788693951972,5876
Sierra Leone,2008,2,25.268309298984136,4715
Sierra Leone,2008,3,24.020389845771312,3534
Sierra Leone,2008,4,22.972007890518448,2567
Sierra Leone,2008,5,21.842698503354654,1762
Sierra Leone,2008,6,20.794592930755396,1175
Sierra Leone,2008,7,19.755840312110326,725
Sierra Leone,2008,8,18.858939593038528,414
Sierra Leone,2008,9,18.343551156470266,208
Sierra Leone,2008,10,17.684002691144155,102
Sierra Leone,2008,11,16.5396178988407,42
Sierra Leone,2008,12,16.224566502988345,15
Sierra Leone,2008,13,16.166666666666668,1
Sierra Leone,2013,1,27.73574434479352,12352
Sierra Leone,2013,2,26.061675831342857,9890
Sierra Leone,2013,3,24.641562322665475,7830
Sierra Leone,2013,4,23.340816844511856,6028
Sierra Leone,2013,5,22.33181395265253,4313
Sierra Leone,2013,6,21.542929556027484,2849
Sierra Leone,2013,7,20.567552684831096,1863
Sierra Leone,2013,8,19.90394004785273,1132
Sierra Leone,2013,9,19.201711530414887,612
Sierra Leone,2013,10,18.25138445135803,314
Sierra Leone,2013,11,17.961346901999786,127
Sierra Leone,2013,12,17.357299584361378,48
Sierra Leone,2013,13,16.577953448397533,23
Sierra Leone,2013,14,17.34329248513023,9
Sierra Leone,2013,15,24.25,1
Sierra Leone,2013,16,22.166666666666664,1
Gabon,2000,1,25.716362757729136,4499
Gabon,2000,2,24.706783071727553,3394
Gabon,2000,3,23.786295564477612,2559
Gabon,2000,4,23.012874862060695,1941
Gabon,2000,5,22.274776299512485,1441
Gabon,2000,6,21.48750172779066,1068
Gabon,2000,7,20.756487934794613,757
Gabon,2000,8,20.087111766480216,521
Gabon,2000,9,19.248299386458996,325
Gabon,2000,10,18.40288135897811,197
Gabon,2000,11,17.62085960396878,102
Gabon,2000,12,17.225342736251907,44
Gabon,2000,13,16.770590530761872,18
Gabon,2000,14,19.45206303166453,5
Gabon,2000,15,19.891378497788292,3
Gabon,2000,16,18.666666666666668,2
Gabon,2000,17,23,1
Gabon,2000,18,23,1
Gabon,2012,1,26.672223341035412,6383
Gabon,2012,2,24.863661173695057,4877
Gabon,2012,3,23.796150871450713,3607
Gabon,2012,4,22.85862678512446,2701
Gabon,2012,5,22.049133737064757,1944
