country,year,parity,mean_age_at_birth,n
Cameroon,1991,7,31.714835663602667,567
Cameroon,1991,8,33.52841943326866,377
Cameroon,1991,9,35.07717700743566,226
Cameroon,1991,10,36.627009685314874,136
Cameroon,1991,11,37.51514464387067,65
Cameroon,1991,12,38.60334384651599,31
Cameroon,1991,13,39.29493572324528,13
Cameroon,1991,14,39.603355492453815,3
Cameroon,1991,15,41.71747756521371,3
Cameroon,1991,16,44.18190027622354,2
Cameroon,1998,1,18.74196588525818,3847
Cameroon,1998,2,21.34821295931338,2984
Cameroon,1998,3,23.68739586883985,2344
Cameroon,1998,4,26.090332073918315,1842
Cameroon,1998,5,28.16156926057749,1411
Cameroon,1998,6,30.25946904932722,1032
Cameroon,1998,7,32.37271231143937,720
Cameroon,1998,8,34.1420359136813,456
Cameroon,1998,9,35.78620461358184,279
Cameroon,1998,10,37.69258176627516,159
Cameroon,1998,11,38.656266203060696,72
Cameroon,1998,12,39.51640394730433,26
Cameroon,1998,13,39.312962063111655,8
Cameroon,1998,14,34.083333333333336,2
Cameroon,1998,15,35.791666666666664,2
Cameroon,1998,16,33.083333333333336,1
Cameroon,1998,17,34.916666666666664,1
Cameroon,1998,18,34.916666666666664,1
Cameroon,2004,1,18.805684065590803,7557
Cameroon,2004,2,21.373300991856713,5868
Cameroon,2004,3,23.72664353525854,4543
Cameroon,2004,4,25.913902260837986,3501
Cameroon,2004,5,28.10541148594823,2651
Cameroon,2004,6,30.201937966457436,1967
Cameroon,2004,7,31.935645314813318,1359
Cameroon,2004,8,33.73179212660359,913
Cameroon,2004,9,35.36118383707581,555
Cameroon,2004,10,36.6162594396746,305
Cameroon,2004,11,38.02512201353464,147
Cameroon,2004,12,38.60066755835172,55
Cameroon,2004,13,39.349571852615775,19
Cameroon,2004,14,39.27896260934565,8
Cameroon,2004,15,39.20077773879531,4
Cameroon,2004,16,32.083333333333336,1
Cameroon,2004,17,37.916666666666664,1
Cameroon,2004,18,37.916666666666664,1
Cameroon,2011,1,19.236649215606633,11023
Cameroon,2011,2,21.943591390127246,8693
Cameroon,2011,3,24.291254849896387,6795
Cameroon,2011,4,26.53605906000312,5141
Cameroon,2011,5,28.67837517480545,3772
Cameroon,2011,6,30.660568472864842,2669
Cameroon,2011,7,32.477713645147084,1786
Cameroon,2011,8,34.10588941841884,1122
Cameroon,2011,9,35.674275901559284,647
Cameroon,2011,10,36.89199699297636,357
Cameroon,2011,11,37.90871072059908,176
Cameroon,2011,12,38.59236765547801,84
Cameroon,2011,13,39.408080991407324,31
Cameroon,2011,14,41.43286045164717,11
Cameroon,2011,15,43.611608115957466,5
Cameroon,2018,1,19.76949567463994,9383
Cameroon,2018,2,22.489985492523402,7302
Cameroon,2018,3,24.78328499869362,5560
Cameroon,2018,4,27.012813186004422,4076
Cameroon,2018,5,28.94440281120788,2873
Cameroon,2018,6,30.80628070322628,1950
Cameroon,2018,7,32.55268482178758,1242
Cameroon,2018,8,33.936856543921486,736
Cameroon,2018,9,35.382626328692645,452
Cameroon,2018,10,36.807858331253556,232
Cameroon,2018,11,37.615803641077875,95
Cameroon,2018,12,38.90919970054198,54
Cameroon,2018,13,40.31952520775557,21
Cameroon,2018,14,42.43867362512556,8
Cameroon,2018,15,44.07859327475872,3
Cameroon,2018,16,44.5,1
Central African Republic,1995,1,19.027384165425246,4388
Central African Republic,1995,2,21.526381119944702,3431
Central African Republic,1995,3,23.987564512644067,2644
Central African Republic,1995,4,26.1661075193255,2011
Central African Republic,1995,5,28.485225702490347,1506
Central African Republic,1995,6,30.5061999804015,1078
Central African Republic,1995,7,32.3608017914965,755
Central African Republic,1995,8,34.017637251999275,484
Central African Republic,1995,9,35.44300481709284,313
Central African Republic,1995,10,37.02461765941755,171
Central African Republic,1995,11,38.17117192557096,86
Central African Republic,1995,12,38.794557597455594,36
Central African Republic,1995,13,39.90793579421031,20
Central African Republic,1995,14,39.81665866413783,6
Central African Republic,1995,15,39.779201729767564,4
Central African Republic,1995,16,37.75,1
Central African Republic,1995,17,40.25,1
Central African Republic,1995,18,41.50000000000001,1
Chad,1996,1,18.321995679961606,5865
Chad,1996,2,20.723314227253223,4859
Chad,1996,3,23.02810357007282,4005
Chad,1996,4,25.367149953321636,3249
Chad,1996,5,27.563505172488902,2551
Chad,1996,6,29.536327732973604,1912
Chad,1996,7,31.51536900104001,1330
Chad,1996,8,33.09244805808566,880
Chad,1996,9,34.63727643258906,538
Chad,1996,10,36.10047282766788,314
Chad,1996,11,37.34074122763369,150
Chad,1996,12,38.22944299813782,54
Chad,1996,13,38.31757462227252,19
Chad,1996,14,36.6361193729572,7
Chad,1996,15,38.81839580876683,5
Chad,1996,16,40.333333333333336,1
Chad,2004,1,18.27175862094398,4643
Chad,2004,2,20.682468627029817,3952
Chad,2004,3,23.014287199045793,3323
